일자,시간,구,기온,습도,강수량,풍속,미세먼지,date,day
20190118,1800,영등포구,0.6,66,0,1.3,66,2019-01-18,5
20190118,1900,영등포구,0.6,67,0,1.2,66,2019-01-18,5
20190119,700,강서구,3.6,56,0,1.1,106,2019-01-19,6
20190119,800,강서구,3.6,63,0,0.5,106,2019-01-19,6
20190119,1800,강서구,3.6,56,0,2.2,106,2019-01-19,6
20190119,1900,강서구,3.6,55,0,2.1,106,2019-01-19,6
20190119,700,마포구,3.6,54,0,2,105,2019-01-19,6
20190119,800,마포구,3.6,60,0,1.8,105,2019-01-19,6
20190119,1800,마포구,3.6,60,0,4.1,105,2019-01-19,6
20190119,1900,마포구,3.6,50,0,4.1,105,2019-01-19,6
20190119,700,송파구,3.6,53,0,0.9,98,2019-01-19,6
20190119,800,송파구,3.6,58,0,0.1,98,2019-01-19,6
20190119,1800,송파구,3.6,72,0,2.9,98,2019-01-19,6
20190119,1900,송파구,3.6,53,0,2.8,98,2019-01-19,6
20190119,700,영등포구,3.6,54,0,2,98,2019-01-19,6
20190119,800,영등포구,3.6,60,0,1.8,98,2019-01-19,6
20190119,1800,영등포구,3.6,60,0,4.1,98,2019-01-19,6
20190119,1900,영등포구,3.6,50,0,4.1,98,2019-01-19,6
20190120,700,강서구,-1.4,21,0,2.1,78,2019-01-20,7
20190120,800,강서구,-1.4,27,0,2.9,78,2019-01-20,7
20190120,1800,강서구,-1.4,46,-1,-1,78,2019-01-20,7
20190120,1900,강서구,-1.4,49,0,0.9,78,2019-01-20,7
20190120,700,마포구,-1.4,25,0,5.1,81,2019-01-20,7
20190120,800,마포구,-1.4,30,0,4.5,81,2019-01-20,7
20190120,1800,마포구,-1.4,49,-1,-1,81,2019-01-20,7
20190120,1900,마포구,-1.4,49,0,0.3,81,2019-01-20,7
20190120,700,송파구,-1.4,24,0,2.5,72,2019-01-20,7
20190120,800,송파구,-1.4,27,0,2.4,72,2019-01-20,7
20190120,1800,송파구,-1.4,48,-1,-1,72,2019-01-20,7
20190120,1900,송파구,-1.4,54,0,0.6,72,2019-01-20,7
20190120,700,영등포구,-1.4,25,0,5.1,72,2019-01-20,7
20190120,800,영등포구,-1.4,30,0,4.5,72,2019-01-20,7
20190120,1800,영등포구,-1.4,49,-1,-1,72,2019-01-20,7
20190120,1900,영등포구,-1.4,49,0,0.3,72,2019-01-20,7
20190121,700,강서구,-1.2,66,0,1,49,2019-01-21,1
20190121,800,강서구,-1.2,68,0,1.3,49,2019-01-21,1
20190121,1800,강서구,-1.2,71,0,0.1,49,2019-01-21,1
20190121,1900,강서구,-1.2,70,0,0,49,2019-01-21,1
20190121,700,마포구,-1.2,64,0,2.4,47,2019-01-21,1
20190121,800,마포구,-1.2,67,0,1.7,47,2019-01-21,1
20190121,1800,마포구,-1.2,85,0,0,47,2019-01-21,1
20190121,1900,마포구,-1.2,87,0,1.1,47,2019-01-21,1
20190121,700,송파구,-1.2,65,0,2.8,43,2019-01-21,1
20190121,800,송파구,-1.2,69,0,2.5,43,2019-01-21,1
20190121,1800,송파구,-1.2,83,0,0.4,43,2019-01-21,1
20190121,1900,송파구,-1.2,84,0,0.4,43,2019-01-21,1
20190121,700,영등포구,-1.2,64,0,2.4,47,2019-01-21,1
20190121,800,영등포구,-1.2,67,0,1.7,47,2019-01-21,1
20190121,1800,영등포구,-1.2,85,0,0,47,2019-01-21,1
20190121,1900,영등포구,-1.2,87,0,1.1,47,2019-01-21,1
20190122,700,강서구,1.7,52,0,1.1,71,2019-01-22,2
20190122,800,강서구,1.7,59,0,1.1,71,2019-01-22,2
20190122,1800,강서구,1.7,83,0,1,71,2019-01-22,2
20190122,1900,강서구,1.7,86,0,0,71,2019-01-22,2
20190122,700,마포구,1.7,49,0,3.1,78,2019-01-22,2
20190122,800,마포구,1.7,59,0,2,78,2019-01-22,2
20190122,1800,마포구,1.7,90,0,0.7,78,2019-01-22,2
20190122,1900,마포구,1.7,86,0,0,78,2019-01-22,2
20190122,700,송파구,1.7,54,0,2.9,66,2019-01-22,2
20190122,800,송파구,1.7,60,0,1.6,66,2019-01-22,2
20190122,1800,송파구,1.7,86,0,0.4,66,2019-01-22,2
20190122,1900,송파구,1.7,87,0,0,66,2019-01-22,2
20190122,700,영등포구,1.7,49,0,3.1,75,2019-01-22,2
20190122,800,영등포구,1.7,59,0,2,75,2019-01-22,2
20190122,1800,영등포구,1.7,90,0,0.7,75,2019-01-22,2
20190122,1900,영등포구,1.7,86,0,0,75,2019-01-22,2
20190123,700,강서구,2,19,0,1.8,89,2019-01-23,3
20190123,800,강서구,2,19,0,0.7,89,2019-01-23,3
20190123,1800,강서구,2,45,0,0.7,89,2019-01-23,3
20190123,1900,강서구,2,45,0,0.2,89,2019-01-23,3
20190123,700,마포구,2,21,0,4.4,87,2019-01-23,3
20190123,800,마포구,2,19,0,5.4,87,2019-01-23,3
20190123,1800,마포구,2,56,0,1.5,87,2019-01-23,3
20190123,1900,마포구,2,44,0,1.6,87,2019-01-23,3
20190123,700,송파구,2,25,0,2.4,77,2019-01-23,3
20190123,800,송파구,2,-1,0,3.8,77,2019-01-23,3
20190123,1800,송파구,2,44,0,0.4,77,2019-01-23,3
20190123,1900,송파구,2,52,0,0.1,77,2019-01-23,3
20190123,700,영등포구,2,21,0,4.4,82,2019-01-23,3
20190123,800,영등포구,2,19,0,5.4,82,2019-01-23,3
20190123,1800,영등포구,2,56,0,1.5,82,2019-01-23,3
20190123,1900,영등포구,2,44,0,1.6,82,2019-01-23,3
20190124,700,강서구,0.1,28,0,1.8,46,2019-01-24,4
20190124,800,강서구,0.1,30,0,1.9,46,2019-01-24,4
20190124,1800,강서구,0.1,46,0,0.2,46,2019-01-24,4
20190124,1900,강서구,0.1,45,0,1.2,46,2019-01-24,4
20190124,700,마포구,0.1,31,0,1.6,47,2019-01-24,4
20190124,800,마포구,0.1,29,0,1.4,47,2019-01-24,4
20190124,1800,마포구,0.1,61,0,2.5,47,2019-01-24,4
20190124,1900,마포구,0.1,51,0,2.2,47,2019-01-24,4
20190124,700,송파구,0.1,19,0,1.8,44,2019-01-24,4
20190124,800,송파구,0.1,33,0,1.4,44,2019-01-24,4
20190124,1800,송파구,0.1,58,0,0,44,2019-01-24,4
20190124,1900,송파구,0.1,42,0,0.6,44,2019-01-24,4
20190124,700,영등포구,0.1,31,0,1.6,43,2019-01-24,4
20190124,800,영등포구,0.1,29,0,1.4,43,2019-01-24,4
20190124,1800,영등포구,0.1,61,0,2.5,43,2019-01-24,4
20190124,1900,영등포구,0.1,51,0,2.2,43,2019-01-24,4
20190125,700,강서구,-1.2,21,0,2.7,53,2019-01-25,5
20190125,800,강서구,-1.2,25,0,1.6,53,2019-01-25,5
20190125,1800,강서구,-1.2,36,0,2.5,53,2019-01-25,5
20190125,1900,강서구,-1.2,38,0,1.8,53,2019-01-25,5
20190125,700,마포구,-1.2,27,0,5,57,2019-01-25,5
20190125,800,마포구,-1.2,33,0,4.8,57,2019-01-25,5
20190125,1800,마포구,-1.2,39,0,4,57,2019-01-25,5
20190125,1900,마포구,-1.2,40,0,3.3,57,2019-01-25,5
20190125,700,송파구,-1.2,24,0,3.3,51,2019-01-25,5
20190125,800,송파구,-1.2,26,0,3.1,51,2019-01-25,5
20190125,1800,송파구,-1.2,36,0,2.3,51,2019-01-25,5
20190125,1900,송파구,-1.2,35,0,2.2,51,2019-01-25,5
20190125,700,영등포구,-1.2,27,0,5,53,2019-01-25,5
20190125,800,영등포구,-1.2,33,0,4.8,53,2019-01-25,5
20190125,1800,영등포구,-1.2,39,0,4,53,2019-01-25,5
20190125,1900,영등포구,-1.2,40,0,3.3,53,2019-01-25,5
20190126,700,강서구,-2.5,26,0,1.9,45,2019-01-26,6
20190126,800,강서구,-2.5,30,0,1.7,45,2019-01-26,6
20190126,1800,강서구,-2.5,51,0,0.4,45,2019-01-26,6
20190126,1900,강서구,-2.5,52,0,0.6,45,2019-01-26,6
20190126,700,마포구,-2.5,31,0,3.1,49,2019-01-26,6
20190126,800,마포구,-2.5,32,0,2.5,49,2019-01-26,6
20190126,1800,마포구,-2.5,54,0,1,49,2019-01-26,6
20190126,1900,마포구,-2.5,56,0,0.8,49,2019-01-26,6
20190126,700,송파구,-2.5,27,0,2.1,43,2019-01-26,6
20190126,800,송파구,-2.5,32,0,2.3,43,2019-01-26,6
20190126,1800,송파구,-2.5,58,0,0,43,2019-01-26,6
20190126,1900,송파구,-2.5,60,0,0.1,43,2019-01-26,6
20190126,700,영등포구,-2.5,31,0,3.1,46,2019-01-26,6
20190126,800,영등포구,-2.5,32,0,2.5,46,2019-01-26,6
20190126,1800,영등포구,-2.5,54,0,1,46,2019-01-26,6
20190126,1900,영등포구,-2.5,56,0,0.8,46,2019-01-26,6
20190127,700,강서구,-0.1,62,0,1.3,38,2019-01-27,7
20190127,800,강서구,-0.1,65,0,1.2,38,2019-01-27,7
20190127,1800,강서구,-0.1,78,0,0.9,38,2019-01-27,7
20190127,1900,강서구,-0.1,75,0,1,38,2019-01-27,7
20190127,700,마포구,-0.1,62,0,2.4,40,2019-01-27,7
20190127,800,마포구,-0.1,62,0,2.2,40,2019-01-27,7
20190127,1800,마포구,-0.1,74,0,2.5,40,2019-01-27,7
20190127,1900,마포구,-0.1,73,0,1.9,40,2019-01-27,7
20190127,700,송파구,-0.1,60,0,2.7,36,2019-01-27,7
20190127,800,송파구,-0.1,65,0,2.2,36,2019-01-27,7
20190127,1800,송파구,-0.1,81,0,1.6,36,2019-01-27,7
20190127,1900,송파구,-0.1,77,0,1.7,36,2019-01-27,7
20190127,700,영등포구,-0.1,62,0,2.4,38,2019-01-27,7
20190127,800,영등포구,-0.1,62,0,2.2,38,2019-01-27,7
20190127,1800,영등포구,-0.1,74,0,2.5,38,2019-01-27,7
20190127,1900,영등포구,-0.1,73,0,1.9,38,2019-01-27,7
20190128,700,강서구,1.2,20,0,1.9,86,2019-01-28,1
20190128,800,강서구,1.2,24,0,1.8,86,2019-01-28,1
20190128,1800,강서구,1.2,44,0,0.7,86,2019-01-28,1
20190128,1900,강서구,1.2,40,0,1,86,2019-01-28,1
20190128,700,마포구,1.2,26,0,4,101,2019-01-28,1
20190128,800,마포구,1.2,28,0,3.9,101,2019-01-28,1
